Epoch,Loss,Train RMSE,Test RMSE,Accuracy,Precision,F1 Score,Recall
5,0.015356139,3.951474758,0.707771074,0.658033333,0.671936066,0.660418989,0.658033333
10,0.003848105,2.2810589,0.499237026,0.715633333,0.732823802,0.717263991,0.715633333
15,0.002693032,2.134673683,0.554720232,0.678644444,0.68941505,0.68065181,0.678644444
20,0.002993738,2.144231736,0.51212512,0.693655556,0.706121375,0.695579155,0.693655556
25,0.001883099,1.80420818,0.579289659,0.644588889,0.652143881,0.646625181,0.644588889
30,0.001719022,1.717014369,0.612726945,0.657344444,0.663302308,0.659107443,0.657344444
35,0.001426909,1.484087503,0.588141248,0.6855,0.695870781,0.6874613,0.6855
40,0.001280688,1.496940322,0.601268759,0.696788889,0.71573287,0.698439798,0.696788889
45,0.001302111,1.473622365,0.639532454,0.703966667,0.724303334,0.705491103,0.703966667
50,0.001267558,1.448049156,0.662862789,0.677588889,0.699588178,0.679043483,0.677588889
55,0.001381435,1.529454077,0.649728121,0.713644444,0.730185427,0.715345706,0.713644444
60,0.001098588,1.360443018,0.684156242,0.701355556,0.716628727,0.703173898,0.701355556
65,0.001287626,1.501060321,0.686899213,0.669,0.680567065,0.671078064,0.669
70,0.001218124,1.40645617,0.66733604,0.6895,0.703566466,0.691423325,0.6895
75,0.00115169,1.366843641,0.702360882,0.692822222,0.707750056,0.694718674,0.692822222
80,0.001185469,1.49361907,0.727468771,0.683422222,0.693016048,0.68539812,0.683422222
85,0.001295887,1.41340687,0.698123241,0.682977778,0.695569514,0.684978986,0.682977778
90,0.001245895,1.411727474,0.717303632,0.687133333,0.696762266,0.689074594,0.687133333
95,0.00124457,1.373034081,0.705279597,0.687611111,0.698782466,0.68957462,0.687611111
100,0.001150343,1.302493913,0.731589462,0.684011111,0.695988161,0.686015932,0.684011111
